,date,fiz_long,fiz_short,yur_long,yur_short,oi
430,2021-05-04,526680,228541,61492,359631,1176344
431,2021-05-11,572867,143649,35051,464269,1215836
432,2021-05-18,577906,210668,58271,425509,1272354
433,2021-05-25,591984,240940,141485,492529,1466938
434,2021-06-01,561319,220668,46435,387086,1215508
435,2021-06-08,566043,292425,120817,394435,1373720
436,2021-06-15,547920,323720,185513,409713,1466866
437,2021-06-22,547989,362146,205623,391466,1507224
438,2021-06-29,547151,275768,137018,408401,1368338
439,2021-07-06,456227,173983,40471,322715,993396
440,2021-07-13,415660,218480,100910,298090,1033140
441,2021-07-20,627532,92671,47696,582557,1350456
442,2021-07-27,425296,250491,91342,266147,1033276
443,2021-08-03,506393,111224,42464,437633,1097714
444,2021-08-10,531393,118085,28216,441524,1119218
445,2021-08-17,577004,81337,40264,535931,1234536
446,2021-08-24,506506,201246,68520,373780,1150052
447,2021-08-31,414660,179507,167820,402973,1164960
448,2021-09-07,463935,171442,25603,318096,979076
449,2021-09-14,455301,204830,44939,295410,1000480
450,2021-09-21,438564,228751,56768,266581,990664
451,2021-09-28,406456,298139,271650,379967,1356212
452,2021-10-05,415383,245790,56268,225861,943302
453,2021-10-12,445767,209183,19159,255743,929852
454,2021-10-19,443848,230416,74841,288273,1037378
455,2021-10-26,442886,229088,328813,542611,1543398
456,2021-11-02,430417,153345,11724,288796,884282
457,2021-11-09,473268,163908,28754,338114,1004044
458,2021-11-16,461788,190093,48089,319784,1019754
459,2021-11-23,428567,211599,42432,259400,941998
460,2021-11-30,649045,47806,118439,719678,1534968
461,2021-12-07,484721,126117,37248,395852,1043938
462,2021-12-14,499042,97446,36139,437735,1070362
463,2021-12-21,527731,102704,84968,509995,1225398
464,2022-01-04,358578,118719,12762,252621,742680
465,2022-01-11,369409,168823,28647,229233,796112
466,2022-01-18,364922,221706,87212,230428,904268
467,2022-01-25,363348,180836,109010,291522,944716
468,2022-02-01,379457,183072,40638,237023,840190
469,2022-02-08,398116,205697,53341,245760,902914
470,2022-02-15,91430,186233,260432,165629,703724
471,2022-02-22,49486,155766,287812,181532,674596
472,2022-03-01,25526,19130,30741,37137,112534
473,2022-03-15,30077,6902,877,24052,61908
474,2022-03-22,31103,15026,1870,17947,65946
475,2022-03-29,39581,13098,6676,33159,92514
476,2022-04-05,47244,11524,11514,47234,117516
477,2022-04-12,53527,17354,19270,55443,145594
478,2022-04-19,53372,17233,20465,56604,147674
479,2022-04-26,51242,12990,25733,63985,153950
480,2022-05-17,46338,18697,19694,47335,132064
481,2022-05-24,38774,16706,24778,46846,127104
482,2022-05-31,42144,20445,32437,54136,149162
483,2022-06-07,37345,19056,5100,23389,84890
484,2022-06-14,35813,20598,5391,20606,82408
485,2022-06-21,38134,19767,1990,20357,80248
486,2022-06-28,34779,18768,4943,20954,79444
487,2022-07-05,33862,14086,1533,21309,70790
488,2022-07-12,38730,19393,1333,20670,80126
489,2022-07-19,40841,20746,1060,21155,83802
490,2022-07-26,39582,21723,1181,19040,81526
491,2022-08-02,35113,14194,819,21738,71864
492,2022-08-09,38491,21683,1787,18595,80556
493,2022-08-16,44451,25018,2845,22278,94592
494,2022-08-23,35954,25774,1963,12143,75834
495,2022-08-30,49430,29526,2007,21911,102874
496,2022-09-06,50805,26358,3132,27579,107874
497,2022-09-13,50203,24955,3370,28618,107146
498,2022-09-20,60276,25419,3918,38775,128388
499,2022-09-27,65040,26906,4668,42802,139416
500,2022-10-04,37787,24375,6333,19745,88240
501,2022-10-11,41105,28146,2764,15723,87738
502,2022-10-18,50709,28956,3495,25248,108408
503,2022-10-25,40998,25564,3578,19012,89152
504,2022-11-01,31880,21126,3747,14501,71254
505,2022-11-08,37547,25753,4138,15932,83370
506,2022-11-15,53186,25789,2633,30030,111638
507,2022-11-22,87092,32470,4332,58954,182848
508,2022-11-29,104268,53407,4210,55071,216956
509,2022-12-06,92522,57857,2454,37119,189952
510,2022-12-13,145150,75840,5051,74361,300402
511,2022-12-20,125481,52886,2583,75178,256128
512,2023-01-03,54139,37030,907,18016,110092
513,2023-01-10,77765,53851,1572,25486,158674
514,2023-01-17,82221,64405,2753,20569,169948
515,2023-01-24,93001,60003,2094,35092,190190
516,2023-01-31,129976,72779,4643,61840,269238
517,2023-02-07,118068,52245,5781,71604,247698
518,2023-02-14,110517,50380,13723,73860,248480
519,2023-02-21,124335,42559,11472,93248,271614
520,2023-02-28,102401,47824,11650,66227,228102
521,2023-03-07,60670,43159,10592,28103,142524
522,2023-03-14,123042,49446,11597,85193,269278
523,2023-03-21,197032,47674,32194,181552,458452
524,2023-03-28,166349,70559,25195,120985,383088
525,2023-04-04,79050,84604,55574,50020,269248
526,2023-04-11,68828,75764,57221,50285,252098
527,2023-04-18,67724,70492,54698,51930,244844
528,2023-04-25,142583,93412,33052,82223,351270
529,2023-05-02,111597,56156,8739,64180,240672
530,2023-05-16,184514,70326,27146,141334,423320
531,2023-05-23,168414,79146,33034,122302,402896
532,2023-05-30,195756,100742,40328,135342,472168
